Frame,Vehicle_Count,Average_Speed_kmph,Queue_Length_meters,Congestion_Level,Traffic_Density_vehicles_per_meter
frame_0.jpg,0,0.0,0.0,Low,0.0
frame_10.jpg,0,0.0,0.0,Low,0.0
frame_100.jpg,0,0.0,0.0,Low,0.0
frame_1000.jpg,27,0.0,30.156165313720702,High,0.8953393019010715
frame_1010.jpg,24,61.8418803285679,25.03452949523926,High,0.9586758962082355
frame_1020.jpg,29,44.524611704980025,30.38350944519043,High,0.9544651203743867
frame_1030.jpg,33,32.903070654853856,30.12008438110352,High,1.095614460519349
frame_1040.jpg,32,40.822603505115495,30.432954406738283,High,1.051491734003806
frame_1050.jpg,34,36.77146894092032,30.2158935546875,High,1.1252356293373775
frame_1060.jpg,29,65.42382316083565,29.90983543395996,High,0.9695807275179147
frame_1070.jpg,29,44.06553487852313,30.09318504333496,High,0.9636733352830302
frame_1080.jpg,29,50.52118500571946,30.03283081054688,High,0.9656099414316891
frame_1090.jpg,29,29.29935187268299,30.07134246826172,High,0.9643733075970103
frame_110.jpg,0,0.0,0.0,Low,0.0
frame_1100.jpg,30,0.0,30.08965034484864,High,0.9970205587695044
frame_1110.jpg,26,39.92065849436515,29.090325164794923,High,0.8937679401213834
frame_1120.jpg,28,47.54084383761768,28.995369720458985,High,0.9656714251256242
frame_1130.jpg,30,27.86339413514964,28.83870372772217,High,1.0402686709930549
frame_1140.jpg,29,34.310442693121985,28.7596435546875,High,1.0083574208719053
frame_1150.jpg,27,56.97985877752036,29.550643157958987,High,0.9136856973188412
frame_1160.jpg,27,43.2251177240563,29.49838562011719,High,0.9153043270810945
frame_1170.jpg,25,41.38704970932769,29.22324199676514,High,0.8554834539838999
frame_1180.jpg,25,41.51903807517012,26.5689308166504,High,0.9409486656622564
frame_1190.jpg,26,52.12465445617691,29.20921020507813,High,0.8901301958339087
frame_120.jpg,0,0.0,0.0,Low,0.0
frame_1200.jpg,21,0.0,29.135403442382813,High,0.720772583140264
frame_1210.jpg,18,290.69795919997364,20.74611511230469,High,0.8676323206808032
frame_1220.jpg,23,24.23509239962454,20.78558044433593,High,1.1065363347246575
frame_1230.jpg,22,47.59788962028961,21.06470947265625,High,1.044400827296376
frame_1240.jpg,21,31.72769364456043,17.33077392578125,Medium,1.2117173814586786
frame_1250.jpg,19,23.07419955509817,19.92158203125,Medium,0.9537395157771927
frame_1260.jpg,22,55.244918135839896,18.81821594238281,Medium,1.1690800056370436
frame_1270.jpg,18,54.895398187230974,17.290928649902344,Medium,1.04100828616291
frame_1280.jpg,22,30.09159287941068,15.906417846679688,Medium,1.3830895310343108
frame_1290.jpg,25,32.50737852793199,21.73557586669922,High,1.1501880674025369
frame_130.jpg,0,0.0,0.0,Low,0.0
frame_1300.jpg,24,0.0,21.56910858154297,High,1.1127024517154678
frame_1310.jpg,30,33.95581081771309,22.64043617248535,High,1.3250628111334108
frame_1320.jpg,30,34.26226460143287,23.088484191894533,High,1.2993490499706268
frame_1330.jpg,28,36.491195505890566,23.521359634399417,High,1.1904073759006124
frame_1340.jpg,23,67.22444618545957,21.064395141601565,High,1.0918898855337018
frame_1350.jpg,27,32.191924777068955,22.039904785156253,High,1.2250506643832846
frame_1360.jpg,25,52.00319853330129,20.92489013671875,High,1.1947494030628287
frame_1370.jpg,24,62.91675610467178,20.4360595703125,High,1.1743946976385233
frame_1380.jpg,24,44.44918170347258,19.071142578125,Medium,1.258445837824552
frame_1390.jpg,19,46.260704500641936,19.764822387695315,Medium,0.961303857292871
frame_140.jpg,0,0.0,0.0,Low,0.0
frame_1400.jpg,24,0.0,21.307461547851563,High,1.126365989026972
frame_1410.jpg,29,26.67690467482927,21.434939575195315,High,1.3529312689809974
frame_1420.jpg,28,39.96663100358614,19.183682250976563,Medium,1.4595737999452443
frame_1430.jpg,30,37.66262891797532,21.262257385253907,High,1.4109508438556488
frame_1440.jpg,31,35.04932138992207,22.651417541503907,High,1.368567770348107
frame_1450.jpg,31,40.02092407872324,21.390321350097658,High,1.449253589631484
frame_1460.jpg,27,46.00240869277019,21.1466365814209,High,1.2767987900128652
frame_1470.jpg,26,41.00642042783938,21.936254501342773,High,1.185252477737641
frame_1480.jpg,32,35.203191476226976,22.83333892822266,High,1.4014595106126633
frame_1490.jpg,27,43.43748688587707,22.4717041015625,High,1.2015110148287613
frame_150.jpg,0,0.0,0.0,Low,0.0
frame_1500.jpg,28,0.0,22.707696533203126,High,1.2330621011716658
frame_1510.jpg,23,52.76643425269945,22.04550170898437,High,1.0432967370675277
frame_1520.jpg,23,38.57021104006405,21.009201049804688,High,1.094758432054408
frame_1530.jpg,18,70.45003214119747,20.359594726562506,High,0.8841040424304705
frame_1540.jpg,20,72.60998916418502,19.95869140625,Medium,1.0020697045166531
frame_1550.jpg,21,44.346711681827664,19.16147308349609,Medium,1.0959491427664527
frame_1560.jpg,17,60.05033033577406,18.02521362304688,Medium,0.9431233579536582
frame_1570.jpg,19,59.85189819750645,19.344531250000003,Medium,0.98218973385566
frame_1580.jpg,23,57.57212944198348,22.50238800048828,High,1.0221137418615713
frame_1590.jpg,21,55.68808844155796,21.546432495117188,High,0.9746393053587401
frame_160.jpg,0,0.0,0.0,Low,0.0
frame_1600.jpg,23,0.0,22.02268371582032,High,1.0443777105820036
frame_1610.jpg,28,73.95142758837734,20.58070983886719,High,1.3604972918437095
frame_1620.jpg,28,57.236359245985966,19.450241088867188,Medium,1.4395708450126343
frame_1630.jpg,25,43.7726087018216,21.59107360839844,High,1.1578859140323419
